Feature,Importance
google_index,0.51447874
page_rank,0.034049664
nb_qm,0.030248327
nb_www,0.029737134
nb_hyperlinks,0.029248131
ratio_digits_host,0.020466648
dns_record,0.018902164
phish_hints,0.017712232
suspecious_tld,0.015214792
length_words_raw,0.011351899
domain_in_brand,0.011012088
nb_eq,0.010996429
web_traffic,0.010113879
ip,0.009078456
port,0.008844078
shortest_word_path,0.008396296
http_in_path,0.008088607
longest_word_path,0.008055366
nb_colon,0.008037282
ratio_extHyperlinks,0.007935642
shortening_service,0.0077545308
nb_hyphens,0.0076897847
nb_dots,0.0073709395
safe_anchor,0.007267665
nb_slash,0.006662751
domain_age,0.0065198774
nb_underscore,0.0062298947
nb_space,0.0062281834
domain_in_title,0.0061027715
length_hostname,0.005577516
longest_words_raw,0.005538658
nb_and,0.005015698
length_url,0.0046696397
ratio_digits_url,0.004575899
nb_subdomains,0.004470598
domain_with_copyright,0.0043393113
external_favicon,0.0042995187
nb_percent,0.0041426118
shortest_word_host,0.0040164744
ratio_extRedirection,0.004011099
empty_title,0.003874215
char_repeat,0.003852837
prefix_suffix,0.0037284866
links_in_tags,0.0036950496
https_token,0.003659871
ratio_intHyperlinks,0.003552664
avg_word_path,0.0033480295
nb_com,0.0032959976
tld_in_path,0.0032935054
ratio_intMedia,0.0032794308
ratio_extMedia,0.0032080335
nb_semicolumn,0.003096438
longest_word_host,0.0030913155
ratio_extErrors,0.0029320237
nb_extCSS,0.0027869348
avg_words_raw,0.0027551872
avg_word_host,0.00274824
domain_registration_length,0.0027117236
whois_registered_domain,0.0026387402
shortest_words_raw,0.0024162997
login_form,0.002394806
random_domain,0.0023313616
nb_redirection,0.002311641
tld_in_subdomain,0.0022966168
statistical_report,0.0022492216
nb_comma,0.0
nb_dollar,0.0
nb_tilde,0.0
nb_or,0.0
nb_at,0.0
nb_star,0.0
nb_dslash,0.0
brand_in_subdomain,0.0
brand_in_path,0.0
nb_external_redirection,0.0
punycode,0.0
abnormal_subdomain,0.0
path_extension,0.0
ratio_intRedirection,0.0
submit_email,0.0
ratio_intErrors,0.0
ratio_nullHyperlinks,0.0
onmouseover,0.0
sfh,0.0
right_clic,0.0
iframe,0.0
popup_window,0.0
